Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Academic_Stream,Education_Level,Age_Group,Work_Experience_Years,Career_Break,Career_Break_Months,Preferred_Work_Mode,Location_Preference,Family_Support_Score,English_Proficiency,Entrepreneurship_Interest,Risk_Tolerance,Leadership_Readiness,Certifications_Interest,Work_Life_Balance_Priority,Salary_Expectation_Lakh,Industry_Preference,Public_Speaking_Confidence,Conflict_Resolution_Skills,Stress_Management_Skills,Adaptability_Score,Mentoring_Experience,Innovation_Interest,Customer_Focus,Data_Driven_Thinking,Continuous_Learning,Career_Goal_Clarity,Willing_To_Relocate,Prefer_Corporate,Domain_Expertise_Depth,Current_Role_Success,Success_Percentage
Engineering,Urban Planner,3.530438534147387,5,0,2,0,3,1,4,4,2,2,1,0,1,1,Science,Bachelors,36-40,7,1,10,Hybrid,Tier2_City,5,3,2,4,2,1,3,18.22,Other,4,2,5,2,0,0,3,1,2,2,1,0,4,4,50.62
Chemistry,Art Director,4.018247221685561,1,2,0,0,8,1,3,4,0,3,0,3,0,1,Science,PhD,25-30,7,0,0,Hybrid,Any,1,1,3,5,1,1,4,13.94,Other,1,3,1,3,3,3,3,5,1,2,0,0,4,5,53.72
Engineering,Chemist,4.636733223332204,1,0,0,0,5,0,1,1,1,2,2,3,4,1,Science,Masters,31-35,4,0,0,Office,Any,4,5,2,3,2,1,3,15.66,Other,3,3,3,1,1,2,5,2,1,2,1,1,5,1,37.47
Physics,Manager,4.052692953534206,3,1,3,0,1,0,4,1,3,1,2,1,2,0,Science,Masters,25-30,14,0,0,Hybrid,Tier2_City,2,2,4,5,1,0,1,7.4,Finance,3,1,1,3,5,2,1,5,4,4,0,1,5,2,64.83
Law,Education Administrator,4.834850008942559,0,2,4,0,0,0,4,4,3,4,4,3,2,0,Arts,Bachelors,31-35,12,0,0,Hybrid,Any,1,5,2,5,4,3,2,23.04,Manufacturing,1,3,3,4,5,4,4,3,3,2,1,1,3,1,71.69
Marketing,Accountant,4.029891529095423,2,0,0,1,2,0,0,2,4,3,1,2,4,1,Commerce,Bachelors,25-30,2,1,12,Hybrid,Tier1_City,1,5,2,2,3,2,3,14.06,Tech,2,5,3,4,1,2,5,1,1,2,0,0,1,1,39.1
Medicine,Cybersecurity Analyst,3.226644909827205,4,0,1,1,0,1,1,2,4,2,2,3,0,0,Science,Bachelors,25-30,8,0,0,Office,Tier2_City,4,2,0,3,5,0,1,24.07,Education,2,2,5,4,2,0,2,2,1,4,0,0,4,3,56.25
Computer Science,Special Education Teacher,4.378898512867637,2,1,0,0,0,0,2,3,3,4,4,2,4,0,Science,Masters,25-30,11,0,0,Remote,Tier3_City,3,1,2,3,1,3,2,40.23,Healthcare,5,3,1,4,2,1,1,4,5,3,0,1,5,2,76.36
Education,Civil Engineer,3.6712135301622952,3,2,0,1,3,0,0,0,1,0,2,3,3,1,Arts,Masters,25-30,6,0,0,Remote,Tier1_City,3,1,2,3,3,2,4,24.07,Education,5,5,4,1,3,3,4,2,1,1,1,0,4,3,35.68
Medicine,Artist,3.905219850365391,5,2,2,1,7,0,2,4,4,4,0,3,2,1,Science,Masters,25-30,0,0,0,Remote,Any,2,4,1,5,3,1,4,47.87,Finance,3,5,5,2,5,3,1,5,2,3,0,0,4,4,49.75
Business,Architect,3.983628858616102,0,2,1,1,5,1,2,4,1,3,0,0,4,1,Commerce,High School,25-30,7,0,0,Remote,Tier1_City,5,4,4,4,1,3,4,9.95,Education,1,4,1,3,2,0,2,4,1,4,0,0,5,5,39.57
Education,Graphic Designer,4.831142370138503,5,1,1,1,5,1,1,1,4,2,4,0,2,0,Arts,PhD,25-30,9,0,0,Hybrid,Tier1_City,1,1,3,3,4,1,5,42.96,Manufacturing,2,4,1,4,1,2,1,5,2,3,0,1,2,4,67.03
Engineering,Acoustics Specialist,2.519861098579108,4,2,3,1,4,1,1,3,2,3,4,1,2,0,Science,Masters,18-24,12,0,0,Office,Tier1_City,4,1,0,5,0,3,5,14.67,Manufacturing,3,3,1,2,4,0,5,3,1,2,1,0,5,3,51.81
Chemistry,Organic Chemist,3.4993573182286166,4,2,4,0,7,0,2,1,2,1,4,2,2,0,Science,Bachelors,18-24,4,0,0,Hybrid,Tier1_City,5,4,3,2,3,5,5,46.89,Healthcare,2,5,4,3,0,3,5,4,4,4,0,1,5,4,54.37
Engineering,Interior Designer,3.051281363601992,0,0,0,1,0,0,3,0,1,0,3,0,3,0,Science,Bachelors,25-30,5,0,0,Remote,Tier2_City,5,4,2,4,3,4,5,13.68,Other,1,1,5,1,3,0,1,1,4,4,0,1,4,5,45.33
Architecture,Game Developer,4.882464657587002,3,2,1,1,1,1,2,2,1,0,1,3,2,1,Interdisciplinary,Bachelors,18-24,8,1,48,Hybrid,Tier2_City,3,1,1,2,4,1,1,38.11,Tech,2,4,4,5,5,3,3,4,5,1,1,1,1,5,52.49
Chemistry,Music Teacher,2.849628835834241,0,2,3,1,0,0,2,3,2,3,4,2,3,0,Science,Bachelors,18-24,9,0,0,Flexible,Tier1_City,1,2,2,4,4,1,1,5.92,Education,4,5,3,1,2,2,1,2,3,1,0,0,4,4,57.48
Law,Market Research Analyst,3.325656325067502,0,2,3,0,7,0,2,0,4,3,1,3,0,1,Arts,Bachelors,36-40,14,0,0,Hybrid,Tier3_City,2,1,2,5,2,1,4,32.6,Healthcare,5,4,2,5,2,5,5,2,5,3,0,1,4,2,64.48
Music,Conductor,2.861092300527823,5,1,1,1,0,1,2,2,1,3,4,3,1,1,Arts,Bachelors,18-24,13,0,0,Flexible,Tier1_City,4,2,5,1,4,5,2,13.28,Manufacturing,2,2,4,4,1,3,4,4,1,2,0,0,5,1,57.63
Medicine,Chemical Engineer,4.189086124027632,6,2,2,0,4,1,1,2,3,3,3,3,1,1,Science,Bachelors,31-35,7,1,10,Remote,Tier3_City,1,2,5,4,3,0,5,34.5,Other,1,5,3,2,2,0,1,2,1,1,0,0,4,5,49.43
Marketing,School Psychologist,4.670245899434831,4,0,4,0,3,1,1,0,3,1,0,1,2,1,Commerce,Masters,25-30,13,0,0,Remote,Tier1_City,5,2,0,2,1,2,2,32.88,Tech,1,5,4,2,0,4,2,5,1,3,0,0,4,2,46.71
Physics,Psychologist,4.045535068198723,1,0,2,1,6,1,2,0,0,3,0,0,4,0,Science,Bachelors,36-40,10,1,19,Office,Tier2_City,5,4,0,5,0,1,1,46.41,Tech,4,2,1,3,3,3,2,1,1,3,0,1,1,4,39.57
Biology,Special Education Teacher,3.0815093503014723,7,0,0,1,6,0,4,3,0,2,1,1,3,1,Science,Bachelors,25-30,13,0,0,Hybrid,Tier1_City,2,3,3,4,2,1,5,32.45,Finance,1,4,2,5,2,4,4,3,2,5,1,1,2,1,57.46
Computer Science,Surgeon,3.293037413815491,2,1,2,0,8,1,0,0,3,1,1,4,2,0,Science,Bachelors,25-30,13,1,53,Office,Tier2_City,3,1,2,1,1,0,1,22.19,Other,4,2,2,5,4,4,4,5,3,5,1,1,2,5,55.35
Finance,Digital Marketing Specialist,4.411688423234405,8,0,4,0,8,1,3,0,0,1,0,1,4,1,Commerce,Bachelors,25-30,2,0,0,Flexible,Tier3_City,2,5,5,1,0,0,1,12.1,Manufacturing,3,3,3,3,4,4,4,3,4,2,0,1,2,1,30.22
Chemistry,Forensic Psychologist,4.91524984804653,1,2,3,0,9,1,0,0,4,1,0,3,0,0,Science,Masters,25-30,12,1,35,Remote,Any,2,5,3,3,0,4,3,33.9,Tech,2,1,4,2,5,0,4,1,3,5,0,0,2,2,55.59
Architecture,Judge,4.597910696845415,1,1,4,1,8,0,1,0,2,3,4,3,2,1,Interdisciplinary,Bachelors,25-30,4,1,24,Office,Tier1_City,1,1,2,3,0,3,1,8.47,Finance,1,4,4,2,5,0,1,4,2,2,0,0,4,2,40.72
